Releve number,Field releve number,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,Image_url1,Image_url2,Image_url3
282,HV-28,19940724,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16172222,-148.8378056,Field Name,Eriophorum vaginatum-Sphagnum sp.,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-28_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-28_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-28_soils.jpg
283,HV-29,19940724,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16341667,-148.8385833,Field Name,Eriophorum vaginatum-Sphagnum sp.,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-29_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-29_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-29_soils.jpg
284,HV-30,19970724,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16891667,-148.8429167,Field Name,Eriophorum vaginatum-Sphagnum sp.,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-30_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-30_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-30_soils.jpg
285,HV-31,19940731,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14880556,-148.8456389,Field Name,Carex bigelowii-Tomentypnum nitens,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-31_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-31_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-31_soils.jpg
286,HV-32,19940726,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14625,-148.8391944,Field Name,Eriophorum vaginatum-Sphagnum sp.,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-32_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-32_soils.jpg,
287,HV-33,19940726,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14638889,-148.85675,Field Name,Betula nana-Sphagnum sp.,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-33_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-33_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-33_soils.jpg
288,HV-34,19940726,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14663889,-148.85775,Field Name,Carex spp.-Sphagnum spp.,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-34_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-34_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-34_soils.jpg
289,HV-35,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14691667,-148.8579167,Field Name,Betula nana-Sphagnum sp.,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-35_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-35_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-35_soils.jpg
290,HV-36,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14680556,-148.8580556,Field Name,Betula nana-Sphagnum sp.,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-36_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-36_soils.jpg,
291,HV-37,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14683333,-148.8582778,Field Name,Carex spp.-Sphagnum sp.,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-37_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-37_soils.jpg,
292,HV-38,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14683333,-148.8584444,Field Name,Betula nana-Sphagnum sp.,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-38_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-38_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-38_soils.jpg
293,HV-39,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14705556,-148.8592222,Field Name,Eriophorum vaginatum-Sphagnum sp.,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-39_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-39_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-39_soils.jpg
294,HV-40,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.146,-148.8611667,Field Name,Betula nana-Sphagnum sp.,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-40_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-40_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-40_soils.jpg
295,HV-41,19940726,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.147,-148.851,Field Name,Luzula arctica-Anthelia juratzkana,"Frost boil vegetation in acidic tundra (Anthelia, Juncus communities)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-41_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-41_soils.jpg,
296,HV-42a,19940726,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14561111,-148.8511944,Field Name,Eriophorum vaginatum-Sphagnum sp.,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-42A_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-42A_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-42A_soils.jpg
297,HV-42b,19940726,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14561111,-148.8511944,Field Name,Luzula arctica-Anthelia juratzkana,"Frost boil vegetation in acidic tundra (Anthelia, Juncus communities)",Braun-Blanquet (old),,,,
298,HV-43,19940725,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14475,-148.8473889,Field Name,Salix alaxensis-Shepherdia canadensis,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-43_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-43_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-43_soils.jpg
299,HV-44,19940725,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14461111,-148.84275,Field Name,Carex bigelowii-Tomentypnum nitens,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-44_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-44_soils.jpg,
300,HV-45,19940725,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14608333,-148.8430556,Field Name,Carex bigelowii-Tomentypnum nitens,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-45_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-45_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-45_soils.jpg
301,HV-46,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16561111,-148.8553889,Field Name,Menyanthes trifoliata,"Aquatic forb marshes (Hippuris, Sparganium, Menyanthes, Utricularia, Ranunculus communities)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-46_plot.jpg,,
302,HV-47,19940727,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16530556,-148.8554444,Field Name,Carex chordorrhiza-Sphagnum orientale,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-47_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-47_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-47_soils.jpg
303,HV-48,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.165,-148.864,Field Name,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-48_plot.jpg,,
304,HV-49,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16561111,-148.8589167,Field Name,Carex spp.-Sphagnum spp.,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,,,
305,HV-50,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16591667,-148.8604167,Field Name,Carex spp.-Sphagnum spp.,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-50_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-50_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-50_soils.jpg
306,HV-51,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.164,-148.867,Field Name,Carex chordorrhiza-Sphagnum orientale,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-51_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-51_plotclose-up.jpg,
307,HV-52,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16502778,-148.8676667,Field Name,Carex spp.-Sphagnum spp.,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-52_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-52_soils.jpg,
308,HV-53,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16477778,-148.8684722,Field Name,Carex spp.-Sphagnum spp.,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-53_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-53_plotclose-up.jpg,
309,HV-54,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16569444,-148.8622778,Field Name,Carex chordorrhiza-Sphagnum orientale,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-54_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-54_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-54_soils.jpg
310,HV-55,19940722,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16591667,-148.8618611,Braun-Blanquet Name,Carex spp.-Sphagnum spp.,Wet acidic Sphagnum-rich mires (bogs),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-55_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-55_soils.jpg,