Releve number,Field releve number,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,Image_url1,Image_url2
171,SW01,19840801,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616404,-149.31386,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-1_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-1_soils.jpg
172,SW02,19840801,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616927,-149.315557,Field name,"Salix planifolia ssp. pulchra, Eriophorum angustifolium, Drepanocladus uncinatus low-shrub, sedge tundra.",Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-2_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-2_soils.jpg
173,SW03,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616066,-149.313924,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-3_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-3_soils.jpg
174,SW04A,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615957,-149.31392,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-4_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-4_soils.jpg
175,SW04B,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615957,-149.31392,Field name,"Salix planifolia ssp. pulchra, Vaccinium uliginosum, Carex bigelowii, Sphagnum rubellum, Aulacomnium palustre low-shrub tundra.",Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-4_plot.jpg,
176,SW05,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615678,-149.313957,Braun-Blanquet name,Sphagno-Eriphoretum vaginati subass. betuletosum nanae Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-5_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-5_soils.jpg
177,SW06,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615553,-149.314201,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-6_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-6_soils.jpg
178,SW07,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615468,-149.313987,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-7_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-7_soils.jpg
179,SW08,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615335,-149.314011,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-8_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-8_soils.jpg
180,SW09,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615185,-149.314009,Braun-Blanquet name,Salici phlebophyllae-Arctoetum alpinae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-9_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-9_soils.jpg
181,SW10,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.61497,-149.313902,Braun-Blanquet name,Sphagno-Eriphoretum vaginati subass. betuletosum nanae Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-10_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-10_soils.jpg
182,SW11,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.614913,-149.313964,Field name,"Salix planifolia ssp. pulchra, Eriophorum angustifolium, Betula nana, Sphagnum spp., low-shrub, sedge tundra.",Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-11_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-11_soils.jpg
183,SW12,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.614505,-149.314095,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-12_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-12_soils.jpg
184,SW13,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.614375,-149.315923,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-13_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-13_soils.jpg
185,SW14,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.614491,-149.317891,Field name,"Carex aquatilis, Rubus chamaemorus, Salix fuscescens, Sphagnum spp., sedge, dwarf-shrub, moss tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-14_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-14_soils.jpg
186,SW15,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.613997,-149.317875,Braun-Blanquet name,Sphagno-Eriphoretum vaginati subass. betuletosum nanae Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-15_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-15_soils.jpg
187,SW16,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.613978,-149.318158,Field name,"Carex aquatilis, Eriophorum angustifolium, sedge tundra.","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-16_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-16_soils.jpg
188,SW17,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.613286,-149.317333,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-17_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-17_soils.jpg
189,SW18,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.61309,-149.317699,Field name,"Carex aquatilis, Salix fuscescens, Salix chamissonis, Carex rariflora, Sphagnum spp., sedge tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-18_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-18_soils.jpg
190,SW19,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.612987,-149.31682,Field name,"Eriophorum scheuchzeri, Salix fuscescens, Sphagnum lenense, sedge, dwarf-shrub, moss tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-19_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-19_soils.jpg
191,SW20,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.612536,-149.316464,Field name,"Carex rotundata, Eriophorum scheuchzeri, Salix fuscescens, Sphagnum lenense sedge, dwarf-shrub, moss tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-20_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-20_soils.jpg
192,SW21A,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.611505,-149.316372,Field name,"Carex rotundata, C. rariflora, Eriophorum scheuchzeri, Sphagnum imbricatum sedge tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-21_plot.jpg,
193,SW21B,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.611505,-149.316372,Field name,"Betula nana, Vaccinium uliginosum, Sphagnum lenense dwarf-shrub tundra",Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-21_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-21_soils.jpg
194,SW22A,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.610486,-149.315723,Field name,"Carex rariflora, C. rotundata, Eriophorum scheuchzeri, Sphagnum lindbergii sedge tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-22_plot.jpg,
195,SW22B,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.610486,-149.315723,Field name,"Eriophorum scheuchzeri, Andromeda polifolia, Salix fuscescens, Sphagnum lenense sedge, dwarf-shrub tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-22_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-22_soils.jpg
196,SW23,19840805,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.609599,-149.315084,Field name,"Carex aquatilis, C. rotundata, sedge tundra.","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-23_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-23_soils.jpg
197,SW24,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.609486,-149.314591,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-24_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-24_soils.jpg
198,SW25A,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.609322,-149.314455,Field name,"Carex rariflora, Betula nana, Salix fuscescens, Sphagnum spp. sedge, dwarf-shrub tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-25_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-25_soils.jpg
199,SW25B,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.609322,-149.314455,Field name,"Carex rariflora, Eriophorum scheuchzeri, C. rotundata, Sphagnum imbricatum sedge tundra.",Wet acidic Sphagnum-rich mires (bogs),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-25_plot.jpg,
200,SW26,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.610744,-149.321721,Field name,"Cassiope tetragona, Vaccinium uliginosum, Carex bigelowii, Tortula ruralis, Dicranum elongatum, Cetraria nivalis, Cladonia spp. fruticose lichen tundra.",Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-26_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-26_soils.jpg
201,SW27,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.610768,-149.321705,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-27_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-27_soils.jpg
202,SW28,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.611454,-149.323116,Braun-Blanquet name,Salici phlebophyllae-Arctoetum alpinae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-28_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-28_soils.jpg
203,SW29A,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.611822,-149.323229,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-29_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-29a_soils.jpg
204,SW29B,19840806,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.611822,-149.323229,Field name,"Arctous alpina, Luzula arctica, Polytrichum strictum, Alectoria ochroleuca barren.","Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-29_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-29b_soils.jpg
205,SW30A,19840807,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615702,-149.325283,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-30_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-30a_soils.jpg
206,SW30B,19840807,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615702,-149.325283,Field name,"Salix phlebophylla, Luzula arctica, Diapensia lapponica, Rhacomitrium lanuginosum, Alectoria ochroleuca barren.","Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-30_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-30b_soils.jpg
207,SW31,19840807,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615732,-149.325148,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-31_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-31_soils.jpg
208,SW32A,19840807,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615848,-149.325125,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-32_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-32a_soils.jpg
209,SW32B,19840807,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615848,-149.325125,Field name,"Salix phlebophylla, Luzula arctica barren","Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-32_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-32b_soils.jpg
210,SW33,19840807,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.617381,-149.32286,Braun-Blanquet name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry acidic tundra (Dryas octopetala),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-33_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-33_soils.jpg
