Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,image_url1,image_url2,image_url3
13003,BEO_FC1,BEO_FC1,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28122,-156.61326,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC1.jpg,,
13004,BEO_FC4,BEO_FC4,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28103,-156.61441,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC4.jpg,,
13005,BEO_FC7,BEO_FC7,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28126,-156.61432,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC7.jpg,,
13006,BEO_FC10,BEO_FC10,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28161,-156.61422,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC10.jpg,,
13007,BEO_FC13,BEO_FC13,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28131,-156.61467,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC13.jpg,,
13008,BEO_FC17,BEO_FC17,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28081,-156.61424,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC17.jpg,,
13009,BEO_FC19,BEO_FC19,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28049,-156.61436,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC19.jpg,,
13010,BEO_FC22,BEO_FC22,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28062,-156.61271,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC22.jpg,,
13011,BEO_FC24,BEO_FC24,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2804,-156.61238,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC24.jpg,,
13012,BEO_FC26,BEO_FC26,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28004,-156.61278,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC26.jpg,,
13013,BEO_HC5,BEO_HC5,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2795,-156.61001,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC5.JPG,,
13014,BEO_HC7,BEO_HC7,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27937,-156.6097,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC7.JPG,,
13015,BEO_HC10,BEO_HC10,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2792,-156.61027,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC10.jpg,,
13016,BEO_HC12,BEO_HC12,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27903,-156.6103,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC12.JPG,,
13017,BEO_HC13,BEO_HC13,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27867,-156.61058,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC13.JPG,,
13018,BEO_HC14,BEO_HC14,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27886,-156.61043,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC14.JPG,,
13019,BEO_HC17,BEO_HC17,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2785,-156.61004,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC17.JPG,,
13020,BEO_HC20,BEO_HC20,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27833,-156.61017,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC20.JPG,,
13021,BEO_HC22,BEO_HC22,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27833,-156.6098,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC22.JPG,,
13022,BEO_HC24,BEO_HC24,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.27819,-156.60975,Field Name,Dry lichen heath tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_HC24.JPG,,
13023,BEO_LC1,BEO_LC1,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28082,-156.61373,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC1.jpg,,
13024,BEO_LC4,BEO_LC4,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28032,-156.61333,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC4.jpg,,
13025,BEO_LC6,BEO_LC6,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28026,-156.6122,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC6.jpg,,
13026,BEO_LC8,BEO_LC8,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28084,-156.61167,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC8.jpg,,
13027,BEO_LC11,BEO_LC11,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28109,-156.61142,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC11.jpg,,
13028,BEO_LC15,BEO_LC15,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28079,-156.6104,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC15.jpg,,
13029,BEO_LC16,BEO_LC16,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28068,-156.61014,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC16.jpg,,
13030,BEO_LC19,BEO_LC19,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28103,-156.61025,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC19.jpg,,
13031,BEO_LC27,BEO_LC27,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28171,-156.61151,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_LC27.jpg,,
13032,BEO_LC30,BEO_LC30,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28207,-156.61174,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,,,
13033,BEO_R2,BEO_R2,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2812,-156.61393,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R2.jpg,,
13034,BEO_R4,BEO_R4,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28086,-156.61381,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R4.jpg,,
13035,BEO_R8,BEO_R8,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28045,-156.6144,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R8.jpg,,
13036,BEO_R11,BEO_R11,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28053,-156.61264,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R11.jpg,,
13037,BEO_R14,BEO_R14,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2803,-156.61255,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R14.jpg,,
13038,BEO_R17,BEO_R17,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28017,-156.6121,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R17.jpg,,
13039,BEO_R22,BEO_R22,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28085,-156.61176,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R22.jpg,,
13040,BEO_R20,BEO_R20,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28118,-156.61188,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R20.jpg,,
13041,BEO_R25,BEO_R25,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28106,-156.61089,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R25.jpg,,
13042,BEO_R28,BEO_R28,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28126,-156.6106,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_R28.jpg,,
13043,BEO_T1,BEO_T1,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28121,-156.61358,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T1.jpg,,
13044,BEO_T5,BEO_T5,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28139,-156.61457,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T5.jpg,,
13045,BEO_T8,BEO_T8,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28078,-156.61482,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T8.jpg,,
13046,BEO_T12,BEO_T12,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28028,-156.61351,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T12.jpg,,
13047,BEO_T13,BEO_T13,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28044,-156.61309,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T13.jpg,,
13048,BEO_T17,BEO_T17,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28019,-156.61209,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T17.jpg,,
13049,BEO_T19,BEO_T19,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28085,-156.61189,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T19.jpg,,
13050,BEO_T23,BEO_T23,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28122,-156.61047,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T23.jpg,,
13051,BEO_T28,BEO_T28,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28183,-156.61134,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T28.jpg,,
13052,BEO_T29,BEO_T29,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28191,-156.61156,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_T29.jpg,,
13053,BES_W1,BES_W1,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28051,-156.59202,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W1.jpg,,
13054,BES_W3,BES_W3,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28055,-156.59189,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W3.jpg,,
13055,BES_W6,BES_W6,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28052,-156.59138,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W6.JPG,,
13056,BES_W7,BES_W7,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28054,-156.59271,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W7.jpg,,
13057,BES_W9,BES_W9,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28056,-156.59359,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W9.JPG,,
13058,BES_W12,BES_W12,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2805,-156.59085,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W12.JPG,,
13059,BES_W21,BES_W21,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28059,-156.59499,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W21.jpg,,
13060,BES_W24,BES_W24,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28056,-156.59558,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W24.JPG,,
13061,BES_W27,BES_W27,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28057,-156.59614,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W27.jpg,,
13062,BES_W30,BES_W30,20140724,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28061,-156.59643,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra calcareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BES_W30.JPG,,
13063,CMDL_B1,CMDL_B1,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32102,-156.60839,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_B1.JPG,,
13064,CMDL_B2,CMDL_B2,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32102,-156.60924,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_B2.JPG,,
13065,CMDL_B3,CMDL_B3,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32118,-156.60923,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_B3.JPG,,
13066,CMDL_B4,CMDL_B4,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32136,-156.60919,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_B4.JPG,,
13067,CMDL_B5,CMDL_B5,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32153,-156.60918,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_B5.JPG,,
13068,CMDL_B6,CMDL_B6,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32488,-156.60874,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_B6.JPG,,
