Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
82,010A,010A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.2520404,-148.5909273,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_010A_plot_close-up.jpg,,,
83,010B,010B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26796504,-148.6421969,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_010B_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_010B_plotclose-up.jpg,,
84,020B,020B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26770367,-148.6443026,Field community name,"Eriophorum angustifolium, Dryas integrifolia, Tomenthypnum nitens, Thamnolia subuliformis sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_020B_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_020b_plotclose-up.jpg,,
85,030A,030A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26083085,-148.5856395,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_030A_plot_secondflagfromleft.jpg,,,
86,030B,030B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28938263,-148.7529485,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_030B_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_030B_plotright.jpg,,
87,040A,040A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26040527,-148.5856714,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040A_plot_firstflagonleft.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040A_plotclose-up.jpg,,
88,040B,040B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28924384,-148.7520972,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040B_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040B_plotleft.jpg,,
89,050A,050A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26104461,-148.5854266,Field community name,"Carex aquatilis, Scorpidium scorpioides sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_050A_%20plot_close-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_050A_plot_fourthflagfromleft.jpg,,
90,050B,050B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.25098822,-148.5932498,Field community name,"Carex aquatilis, Scorpidium scorpioides sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_050B_%20plotclose-up.jpg,,,
91,060A,060A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29122026,-148.7600236,Field community name,Arctophila fulva grass tundra,Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_060A_plot.jpg,,,
92,060B,060B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28865656,-148.7597981,Field community name,Arctophila fulva grass tundra,Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_060B_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_060B_plotclose-up.jpg,,
93,203,203,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28960046,-148.7574211,Field community name,"Eriophorum vaginatum, Dryas integrifolia, Tomenthypnum nitens, Thamnolia subuliformis tussock sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),,,,
94,303,303,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26097159,-148.5835795,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),,,,
95,801,801,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26620946,-148.6447759,Field community name,"Saxifraga oppositifolia, Juncus biglumis forb barren","Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_801_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_0801_plotclose-up.jpg,,
96,901,901,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28970126,-148.7615914,Field community name,"Dryas integrifolia, Cassiope tetragona, Cetraria nivalis dwarf shrub, fruticose lichen tundra","Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",,,Percentage (%),,,,
97,902,902,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28973202,-148.7619033,Field community name,"Salix rotundifolia, Equisetum scorpioides dwarf shrub tundra","Moderately drained deep snowbeds (Salix rotundifolia, S. polaris, S. herbacea snowbeds)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_0902_plotclose-up.jpg,,,
98,1001,1001,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29006459,-148.7593401,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),,,,
99,1002,1002,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28972311,-148.7597346,Field community name,"Festuca baffinensis, Papaver macounii, Ranunculus pedatifidus forb, grass tundra","Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1002_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1002_plotclose-up.jpg,,
100,1101,1101,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26795474,-148.6460548,Field community name,"Carex aquatilis, Salix rotundifolia sedge, dwarf tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1101_plot_highwater.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1101_plot_right.jpg,,
101,1102,1102,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26767414,-148.6457319,Field community name,"Dryas integrifolia, Eriophorum angustifolium, Tomenthypnum nitens, Didymodon asperifolius dwarf shrub, sedge, moss tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1102_plot_left.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1102_plotclose-up.jpg,,
102,1103,1103,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.31997561,-148.9532126,Field community name,"Salix lanata, Carex aquatilis dwarf shrub, sedge tundra",Willow shrub vegetation of riparian areas and warm habitats,,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1103_plotclose-up.jpg,,,
103,1104,1104,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32509072,-148.945708,Field community name,"Braya purpurascens, Anemone parviflora, Arctagrostis latifolia forb, grass tundra",Ruderal communities on loamy soils,,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1104_plotclose-up.jpg,,,
104,1105,1105,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.3250177,-148.9528201,Field community name,"Epilobium latifolium, Artemisia arctica forb barren","Ruderal riparian vegetation (Epilobium latifolium, Artemisia arctica, Trisetum spicatum, etc.)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1105_plotclose-up.jpg,,,
105,1106,1106,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32435689,-148.9524356,Field community name,"Salix ovalifolia, Artemisia borealis dwarf shrub, forb tundra","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritimia, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,,Percentage (%),,,,
106,1107,1107,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32455427,-148.9518565,Field community name,"Equisetum arvense, Alopecurus alpinus horsetail, grass tundra","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritimia, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1107_plotclose-up.jpg,,,
107,1201,1201,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29439248,-148.2892307,Field community name,"Elymus arenarius, Dupontia fisheri grass barren",Elymus arenarius and other active dune communities,,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1201_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1201_plotclose-up.jpg,,
108,1203,1203,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29458837,-148.3028983,Field community name,"Carex aquatilis, Dupontia fisheri, Calliergon richardsonii sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1203_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1203_plotclose-up.jpg,,
109,1204,1204,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.2949042,-148.3037847,Field community name,"Carex aquatilis, Drepanocladus brevifolius, Calliergon richardsonii sedge, moss tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1204_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1204_plotclose-up.jpg,,
110,1205,1205,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26073324,-148.3161525,Field community name,"Carex aquatilis, Dupontia fisheri, Calliergon richardsonii sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),,,,
111,1206,1206,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26081354,-148.3161241,Field community name,Scorpidium scorpioides moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),,,,
112,1207,1207,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29080071,-148.2910735,Field community name,"Dryas integrifolia, Salix ovalifolia, Artemisia borealis dwarf shrub, forb barren","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritimia, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,,Percentage (%),,,,
113,1208,1208,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29669436,-148.298208,Field community name,"Salix ovalifolia, Artemisia borealis dwarf shrub, forb tundra","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritimia, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,,Percentage (%),,,,
114,1209,1209,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29611073,-148.2894842,Field community name,"Carex aquatilis, Dupontia fisheri, Salix ovalifolia, graminoid, dwarf shrub tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),,,,
115,1210,1210,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29192002,-148.2961779,Field community name,"Carex aquatilis, Dryas integrifolia sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),,,,
116,1301,1301,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.30775483,-148.3304432,Field community name,"Braya purpurascens, Puccinellia andersonii forb, grass barren","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritimia, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1301_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1301_plotclose-up.jpg,,
117,1302,1302,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29581351,-148.4916325,Field community name,"Carex subspathacea, Puccinellia phryganodes sedge tundra","Puccinellia phryganodes, Carex subsapathecea coastal salt marsh communities",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1302_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1302_plotclose-up.jpg,,
118,1303,1303,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.3742724,-148.5233049,Field community name,"Carex aquatilis, Salix planifolia spp. pulchra, Campylium stellatum sedge, dwarf shrub tundra","Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),,,,
119,1304,1304,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.37468929,-148.5211571,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),,,,
120,1305,1305,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.37466111,-148.5222176,Field community name,"Salix rotundifolia, Salix planifolia ssp. pulchra, Ochrolechia frigida dwarf shrub, crustose lichen tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),,,,
121,1306,1306,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.36261584,-148.4916719,Field community name,"Dupontia fisheri, Carex aquatilis, Campylium stellatum graminoid, moss tundra",Moist to wet coastal grasslands (Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1306_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1306_plotclose-up.jpg,,
122,1307,1307,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.36273235,-148.4926192,Field community name,Arctophila fulva grass tundra,Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1307_%20plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1307_plotclose-up.jpg,,
123,1308,1308,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.36229943,-148.4836049,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1308_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1308_plotclose-up.jpg,,
124,1309,1309,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.36376462,-148.4864101,Field community name,"Dupontia fisheri, Cochlearia officinalis grass, forb tundra",Moist to wet coastal grasslands (Dupontia),,,Percentage (%),,,,
125,1310,1310,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.36357814,-148.488793,Field community name,"Carex aquatilis, Dupontia fisheri, Eriophorum angustifolium graminoid tundra",Moist to wet coastal grasslands (Dupontia),,,Percentage (%),,,,
126,1311,1311,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.36804179,-148.5055472,Field community name,"Carex aquatilis, Salix planifolia spp. pulchra, Campylium stellatum sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),,,,
127,1312,1312,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.37786737,-148.5284705,Field community name,"Cochlearia officinalis, Puccinellia phryganodes forb, grass barren","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritimia, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,,Percentage (%),,,,
