Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12792,DUT001,1,20070803,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84811111,-166.4656389,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12793,DUT002,2,20070803,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84733333,-166.4656111,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12794,DUT003,3,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88925,-166.4557778,Field community name,Athyrium-Aconitum meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12795,DUT004,4,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88936111,-166.4547222,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12796,DUT005,5,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88958333,-166.4539444,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12797,DUT006,6,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89177778,-166.4530278,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12798,AKK007,7,20070805,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90875,-166.5186111,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12799,DUT008,8,20070805,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.8535,-166.4586667,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12800,DUT009,9,20070805,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85386111,-166.4605278,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12801,DUT010,10,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89788889,-166.4641944,Field community name,Honckenya beach meadow,"Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,Soil data,Westhoff and van der Maarel,,,
12802,DUT011,11,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89772222,-166.4640833,Field community name,Leymus dune meadow,Elymus arenarius and other active dune communities,,Soil data,Westhoff and van der Maarel,,,
12803,DUT012,12,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89777778,-166.4639167,Field community name,Leymus dune meadow,Elymus arenarius and other active dune communities,,Soil data,Westhoff and van der Maarel,,,
12804,DUT013,13,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89763889,-166.4629722,Field community name,Honckenya beach meadow,"Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,Soil data,Westhoff and van der Maarel,,,
12805,DUT014,14,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89758333,-166.4630556,Field community name,Honckenya beach meadow,"Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,Soil data,Westhoff and van der Maarel,,,
12806,DUT015,15,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89741667,-166.4628889,Field community name,Leymus dune meadow,Elymus arenarius and other active dune communities,,Soil data,Westhoff and van der Maarel,,,
12807,DUT016,16,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90119444,-166.4485833,Field community name,Honckenya beach meadow,"Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,Soil data,Westhoff and van der Maarel,,,
12808,DUT017,17,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90113889,-166.4484722,Field community name,Leymus dune meadow,Elymus arenarius and other active dune communities,,Soil data,Westhoff and van der Maarel,,,
12809,DUT018,18,20070807,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90080556,-166.44825,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12810,DUT019,19,20070807,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90105556,-166.448,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12811,DUT020,20,20070807,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90138889,-166.4483333,Field community name,Athyrium-Aconitum meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12812,DUT021,21,20070807,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90125,-166.4483611,Field community name,Athyrium-Aconitum meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12813,DUT022,22,20070808,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88497222,-166.4526111,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12814,DUT023,23,20070808,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88491667,-166.4525556,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12815,DUT024,24,20070808,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88427778,-166.4515,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12816,DUT025,25,20070808,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88466667,-166.4508611,Field community name,Athyrium-Calamagrostis meadow,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12817,DUT026,26,20070809,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85086111,-166.4821111,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12818,DUT027,27,20070809,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85105556,-166.4806944,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12819,DUT028,28,20070809,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85108333,-166.48025,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12820,DUT029,29,20070809,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85094444,-166.4777222,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12821,DUT030,30,20070810,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85408333,-166.4559722,Field community name,Vaccinium-Thamnolia fellfield,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12822,DUT031,31,20070810,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85377778,-166.45475,Field community name,Vaccinium-Thamnolia fellfield,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12823,DUT032,32,20070810,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85355556,-166.454,Field community name,Vaccinium-Thamnolia fellfield,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12824,DUT033,33,20070811,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85555556,-166.4596389,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12825,DUT034,34,20070811,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85830556,-166.4601667,Field community name,Vaccinium-Thamnolia fellfield,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12826,DUT035,35,20070811,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.8595,-166.4598333,Field community name,Vaccinium-Thamnolia fellfield,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12827,DUT036,36,20070811,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85997222,-166.4605833,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12828,DUT037,37,20070813,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85666667,-166.4610833,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12829,DUT038,38,20070813,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85902778,-166.46225,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12830,DUT039,39,20070813,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85988889,-166.4606944,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12831,DUT040,40,20070813,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85794444,-166.4614167,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12832,DUT041,41,20070814,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84666667,-166.4615556,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12833,DUT042,42,20070815,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84738889,-166.46075,Field community name,Athyrium-Aconitum meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12834,DUT043,43,20070815,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84822222,-166.4589444,Field community name,Salix-Athyrium thicket,"Willow, grass, fern, forb thickets (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12835,DUT044,44,20070815,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84808333,-166.4581667,Field community name,Salix-Athyrium thicket,"Willow, grass, fern, forb thickets (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12836,DUT045,45,20070815,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84797222,-166.4592222,Field community name,Salix-Athyrium thicket,"Willow, grass, fern, forb thickets (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12837,DUT046,46,20070815,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84733333,-166.4603611,Field community name,Athyrium-Aconitum meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12838,DUT047,47,20070816,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84177778,-166.5087222,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12839,DUT048,48,20070816,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84094444,-166.508,Field community name,Salix-Athyrium thicket,"Willow, grass, fern, forb thickets (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12840,DUT049,49,20070816,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84127778,-166.5094167,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12841,DUT050,50,20070816,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84119444,-166.5110278,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12842,DUT051,51,20070817,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85627778,-166.4443333,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12843,DUT052,52,20070817,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.86008333,-166.4536389,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12844,DUT053,53,20070817,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85905556,-166.4538611,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12845,DUT054,54,20070818,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85663889,-166.44625,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12846,DUT055,55,20070818,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85513889,-166.4443611,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12847,DUT056,56,20070818,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85469444,-166.4413333,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12848,DUT057,57,20070818,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85947222,-166.4527778,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12849,DUT058,58,20070818,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85941667,-166.4523889,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12850,DUT059,59,20070819,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85525,-166.4463889,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12851,DUT060,60,20070819,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85522222,-166.4481667,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12852,DUT061,61,20070819,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85491667,-166.4468333,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12853,DUT062,62,20070820,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85291667,-166.4660278,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12854,DUT063,63,20070820,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85327778,-166.4663333,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12855,DUT064,64,20070820,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.855,-166.444,Field community name,Carex snowbed meadow,Late snowbed communities,,Soil data,Westhoff and van der Maarel,,,
12856,DUT065,65,20070820,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85494444,-166.4426944,Field community name,Carex snowbed meadow,Late snowbed communities,,Soil data,Westhoff and van der Maarel,,,
12857,DUT066,66,20070821,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85416667,-166.4407222,Field community name,Carex snowbed meadow,Late snowbed communities,,Soil data,Westhoff and van der Maarel,,,
12858,DUT067,67,20070821,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85419444,-166.4405833,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12859,DUT068,68,20070822,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85519444,-166.4448056,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12860,DUT069,69,20070822,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85788889,-166.4619167,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12861,DUT070,70,20070822,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89633333,-166.4604167,Field community name,Leymus dune meadow,Elymus arenarius and other active dune communities,,Soil data,Westhoff and van der Maarel,,,