Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,COMM_NAME,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
428,47,47,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.033142,-149.664199,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
429,63,63,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.764627,-148.902073,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
430,62,62,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.764627,-148.902073,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
431,36,36,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.150442,-148.838307,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
432,92,92,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.840857,-148.842309,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
433,60,60,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.098055,-148.833671,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
434,61,61,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.098775,-148.831126,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
435,59,59,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.098055,-148.833671,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
436,93,93,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.840857,-148.842309,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
437,50,50,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.356841,-149.329644,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
438,49,49,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.356841,-149.329644,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
439,10,10,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.222458,-149.409472,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
440,8,8,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.222458,-149.409472,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
441,9,9,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.222458,-149.409472,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
442,40,40,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.75896,-148.8839216,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
443,39,39,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.75896,-148.8839216,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
444,76,76,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.342287,-148.729377,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
445,75,75,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.342287,-148.729377,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
446,51,51,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.770827,-149.851447,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
447,53,53,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.770827,-149.851447,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
448,52,52,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.770827,-149.851447,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
449,54,54,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.770827,-149.851447,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
450,38,38,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.75896,-148.839216,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
451,37,37,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.75896,-148.839216,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
452,16,16,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.152018,-148.82959,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
453,17,17,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.152018,-148.82959,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
454,5,5,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.161994,-148.819763,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
455,6,6,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.161994,-148.819763,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
456,78,78,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.827018,-148.812459,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
457,77,77,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.827018,-148.812459,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
458,66,66,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.820928,-148.751968,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
459,67,67,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.820928,-148.751968,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
460,68,68,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.768214,-148.699412,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
461,83,83,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,70.187779,-148.429704,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
462,84,84,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,70.187779,-148.429704,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
463,69,69,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.612057,-149.59051,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
464,70,70,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.625571,-149.595152,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
465,35,35,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.150442,-148.838307,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
466,72,72,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.07068,-148.820785,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
467,71,71,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.07068,-148.820785,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
468,87,87,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.853949,-148.844026,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
469,73,73,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.150442,-148.838307,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
470,74,74,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.150442,-148.838307,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
471,19,19,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.647659,-149.413772,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
472,23,23,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.645972,-149.408181,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
473,18,18,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.647659,-149.413772,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
474,22,22,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.645972,-149.408181,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
475,88,88,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.853949,-148.844026,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
476,26,26,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.649356,-149.321969,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
477,29,29,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.64592,-149.317012,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
478,30,30,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.64592,-149.317012,Braun-Blanquet,Valeriano-Salicetum pulchrae vaccinium uliginosum Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
479,28,28,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.688153,-149.0941,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
480,89,89,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.688153,-149.0941,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
481,91,91,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.691562,-148.084442,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
482,90,90,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.688153,-149.0941,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
483,24,24,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.686768,-148.098764,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
484,25,25,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.685395,-149.107868,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
485,27,27,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.688153,-149.0941,Braun-Blanquet,Valeriano-Salicetum pulchrae Salix chamissonis Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
486,4,4,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.161994,-148.819763,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
487,15,15,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.161994,-148.819763,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
488,14,14,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.161994,-148.819763,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
489,65,65,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.827018,-148.812459,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
490,64,64,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.827018,-148.812459,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
491,82,82,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.003525,-148.805991,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
492,81,81,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.003525,-148.805991,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
493,86,86,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.873586,-148.849336,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
494,85,85,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.873586,-148.849336,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
495,80,80,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.989393,-148.811816,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
496,79,79,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.989393,-148.811816,Braun-Blanquet,Epilobio-Salicetum alaxensis parnassietosum kotzebuei Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
497,34,34,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.150442,-148.838307,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
498,3,3,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.625571,-149.595152,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
499,2,2,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.625571,-149.595152,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
500,1,1,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.625571,-149.595152,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
501,46,46,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.033142,-149.664199,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
502,57,57,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.231952,-149.414867,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
503,58,58,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.231952,-149.414867,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
504,56,56,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.065045,-149.599877,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
505,55,55,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.065045,-149.599877,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
506,33,33,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.087804,-149.553895,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
507,32,32,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.087804,-149.553895,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
508,7,7,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.135814,-149.443434,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
509,44,44,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.215016,-149.409344,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
510,43,43,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.215016,-149.409344,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
511,42,42,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.215016,-149.409344,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
512,20,20,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.374101,-149.314493,Braun-Blanquet,Epilobio-Salicetum alaxensis polemonietosum acutiflori Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,